public_transport_nearby,has_lifts,allows_pets,cctv,floor,antiquity_min_years,antiquity_max_years,rooms,bathrooms,garages,area,stratum,lat,lng,rent_price,admon_price,total_price
0,0,0,0,,0,5,1,1,0,37,3,4.65303,-74.07707,750000,0,750000
0,1,0,0,3,5,10,1,2,1,60,4,4.613341,-74.064384,1180000,320000,1500000
1,0,0,0,,10,20,5,5,4,296,4,4.685662,-74.06154,11500000,0,11500000
1,0,0,1,4,5,10,1,2,1,69,5,4.71011,-74.049324,2600000,0,2600000
0,1,0,0,,0,5,3,2,2,96,6,6.2226915,-75.5666,2500000,0,2500000
0,0,0,0,,,,1,1,1,32.28,3,4.60965,-74.06651,854001,213000,1067001
0,0,0,0,3,10,20,3,3,3,0,5,4.7050037,-74.032295,3200000,0,3200000
0,0,0,0,2,20,,3,4,3,230,5,4.7624054,-74.068695,3720000,580000,4300000
0,1,0,1,6,0,5,2,2,2,80,6,,,3200000,0,3200000
0,1,0,1,2,10,20,1,2,1,0,6,4.6768684,-74.057915,3500000,0,3500000
0,0,0,0,,10,20,4,4,2,146,4,4.6750817,-74.04552,3228000,986000,4214000
1,1,0,0,7,0,5,1,2,1,47,5,4.7062035,-74.02899,1950000,0,1950000
0,0,0,0,8,20,,2,1,1,54,4,4.620427,-74.07069,1300000,250000,1550000
0,0,0,0,3,10,20,3,4,3,230,5,4.7082157,-74.04917,8000000,0,8000000
0,0,0,0,0,5,10,3,1,0,53,3,4.7549267,-74.10232,900000,0,900000
1,1,0,0,7,10,20,1,2,2,73,6,4.6796255,-74.05631,2800000,0,2800000
0,1,0,0,,5,10,3,2,1,61,4,4.75613,-74.03836,1020200,189900,1210100
0,1,0,0,,0,5,1,2,2,63,6,6.25045,-75.53604,2900000,0,2900000
1,1,0,0,5,10,20,3,3,1,80,5,4.7005606,-74.05841,2046000,0,2046000
1,0,0,0,,10,20,3,5,2,171,5,4.7260222,-74.06398,2880000,570000,3450000
1,0,0,0,3,0,5,1,1,1,44,5,,,1800000,0,1800000
1,0,0,0,,10,20,2,2,1,0,6,4.6752105,-74.04767,2500000,0,2500000
1,1,0,0,6,5,10,1,1,1,36,4,4.6402593,-74.06281,1250000,0,1250000
0,0,0,0,2,5,10,1,1,1,32,3,4.6407356,-74.06512,1300000,0,1300000
1,1,0,1,6,10,20,1,2,2,62,5,4.7056465,-74.04793,2300000,0,2300000
1,0,0,1,,10,20,4,5,0,209,5,4.763658,-74.07055,14200000,800000,15000000
0,0,0,0,,10,20,2,4,0,260,3,4.66044,-74.04957,7500000,0,7500000
1,0,0,0,5,0,5,1,1,1,0,3,4.63976,-74.06824,1130000,170000,1300000
0,0,0,0,,20,,1,1,0,27,4,4.69271,-74.06986,1100000,0,1100000
0,0,0,0,1,0,5,2,2,1,72,6,6.188475,-75.57553,3100000,0,3100000
